,Date,Hour,Minutes,Index(Wh),Consumption(Wh),Day,Weekend,Week,Month,Day of year,Temperature,Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Irradiation
0,01/06/2020,00:00,0,806469,56,1,0,23,6,153,11.69,79.32,1015.13,3.67,71.66,0,0,0,0
1,01/06/2020,00:15,15,806536,67,1,0,23,6,153,11.5,80.27,1015.08,3.62,73.58,0,0,0,0
2,01/06/2020,00:30,30,806596,60,1,0,23,6,153,11.32,81.22,1015.02,3.57,75.57,0,0,0,0
3,01/06/2020,00:45,45,806651,55,1,0,23,6,153,11.14,82.05,1014.98,3.51,77.64,0,0,0,0
4,01/06/2020,01:00,60,806708,57,1,0,23,6,153,10.97,82.74,1014.94,3.44,79.81,0,0,0,0
5,01/06/2020,01:15,75,806770,62,1,0,23,6,153,10.8,83.43,1014.91,3.38,82.07,0,0,0,0
6,01/06/2020,01:30,90,806833,63,1,0,23,6,153,10.63,84.13,1014.87,3.32,84.41,0,0,0,0
7,01/06/2020,01:45,105,806888,55,1,0,23,6,153,10.47,84.64,1014.85,3.26,86.68,0,0,0,0
8,01/06/2020,02:00,120,806924,36,1,0,23,6,153,10.32,84.93,1014.83,3.19,88.9,0,0,0,0
9,01/06/2020,02:15,135,806961,37,1,0,23,6,153,10.17,85.23,1014.81,3.12,91.21,0,0,0,0
10,01/06/2020,02:30,150,807007,46,1,0,23,6,153,10.01,85.52,1014.79,3.06,93.62,0,0,0,0
11,01/06/2020,02:45,165,807043,36,1,0,23,6,153,9.88,85.63,1014.79,3.02,95.67,0,0,0,0
12,01/06/2020,03:00,180,807078,35,1,0,23,6,153,9.76,85.56,1014.8,2.98,97.33,0,0,0,0
13,01/06/2020,03:15,195,807112,34,1,0,23,6,153,9.65,85.47,1014.81,2.94,99.03,0,0,0,0
14,01/06/2020,03:30,210,807161,49,1,0,23,6,153,9.53,85.39,1014.82,2.91,100.77,0,0,0,0
15,01/06/2020,03:45,225,807218,57,1,0,23,6,153,9.59,84.64,1014.86,2.9,101.78,0,0,0,0
16,01/06/2020,04:00,240,807273,55,1,0,23,6,153,9.82,83.27,1014.92,2.9,102.05,0,0,0,12.306
17,01/06/2020,04:15,255,807325,52,1,0,23,6,153,10.04,81.91,1014.99,2.91,102.31,0,0,0,50.388
18,01/06/2020,04:30,270,807392,67,1,0,23,6,153,10.27,80.59,1015.06,2.92,102.57,0,0,0,102.786
19,01/06/2020,04:45,285,807447,55,1,0,23,6,153,10.64,78.43,1015.14,3.01,101.74,0,0,0,165.471
20,01/06/2020,05:00,300,807499,52,1,0,23,6,153,11.14,75.52,1015.24,3.19,99.98,0,0,0,234.703
21,01/06/2020,05:15,315,807549,50,1,0,23,6,153,11.65,72.73,1015.34,3.37,98.41,0,0,0,313.511
22,01/06/2020,05:30,330,807611,62,1,0,23,6,153,12.15,70.05,1015.44,3.56,97,0,0,0,401.813
23,01/06/2020,05:45,345,807671,60,1,0,23,6,153,12.65,68.1,1015.52,3.56,94.39,0,0,0,495.105
24,01/06/2020,06:00,360,807710,39,1,0,23,6,153,13.14,66.84,1015.6,3.4,90.16,0,0,0,591.312
25,01/06/2020,06:15,375,807742,32,1,0,23,6,153,13.64,65.59,1015.68,3.26,85.54,0,0,0,693.86
26,01/06/2020,06:30,390,807781,39,1,0,23,6,153,14.13,64.36,1015.76,3.14,80.53,0,0,0,802.382
27,01/06/2020,06:45,405,807827,46,1,0,23,6,153,14.78,62.05,1015.82,3.19,78.34,0,0,0,909.493
28,01/06/2020,07:00,420,807859,32,1,0,23,6,153,15.6,58.78,1015.85,3.38,79.15,0,0,0,1012.897
29,01/06/2020,07:15,435,807892,33,1,0,23,6,153,16.41,55.71,1015.88,3.57,79.88,0,0,0,1118.503
30,01/06/2020,07:30,450,807929,37,1,0,23,6,153,17.23,52.81,1015.9,3.77,80.53,0,0,0,1225.837
31,01/06/2020,07:45,465,807984,55,1,0,23,6,153,17.9,50.57,1015.91,3.96,80.71,0,0,0,1328.356
32,01/06/2020,08:00,480,808148,164,1,0,23,6,153,18.41,48.91,1015.89,4.16,80.48,0,0,0,1424.482
33,01/06/2020,08:15,495,808216,68,1,0,23,6,153,18.93,47.31,1015.88,4.36,80.28,0,0,0,1519.446
34,01/06/2020,08:30,510,808283,67,1,0,23,6,153,19.44,45.76,1015.86,4.56,80.09,0,0,0,1612.792
35,01/06/2020,08:45,525,808357,74,1,0,23,6,153,19.87,44.87,1015.83,4.71,79.55,0,0,0,1700.544
36,01/06/2020,09:00,540,808432,75,1,0,23,6,153,20.21,44.57,1015.77,4.83,78.69,0,0,0,1781.834
37,01/06/2020,09:15,555,808508,76,1,0,23,6,153,20.56,44.27,1015.72,4.95,77.87,0,0,0,1859.64
38,01/06/2020,09:30,570,808593,85,1,0,23,6,153,20.9,43.97,1015.66,5.07,77.08,0,0,0,1933.576
39,01/06/2020,09:45,585,808693,100,1,0,23,6,153,21.23,43.75,1015.59,5.17,76.74,0,0,0,1999.458
40,01/06/2020,10:00,600,808783,90,1,0,23,6,153,21.54,43.62,1015.51,5.23,76.79,0,0,0,2056.65
41,01/06/2020,10:15,615,808872,89,1,0,23,6,153,21.86,43.48,1015.42,5.29,76.85,0,0,0,2108.581
42,01/06/2020,10:30,630,808927,55,1,0,23,6,153,22.18,43.33,1015.34,5.36,76.9,0,0,0,2154.993
43,01/06/2020,10:45,645,808984,57,1,0,23,6,153,22.47,43.25,1015.26,5.39,77.09,0,0,0,2193.033
44,01/06/2020,11:00,660,809033,49,1,0,23,6,153,22.75,43.24,1015.19,5.39,77.4,0,0,0,2222.4
45,01/06/2020,11:15,675,809067,34,1,0,23,6,153,23.03,43.22,1015.12,5.4,77.72,0,0,0,2245.528
46,01/06/2020,11:30,690,809101,34,1,0,23,6,153,23.3,43.18,1015.05,5.41,78.04,0,0,0,2262.299
47,01/06/2020,11:45,705,809143,42,1,0,23,6,153,23.55,43.18,1014.97,5.39,78.22,0,0,0,2268.561
48,01/06/2020,12:00,720,809192,49,1,0,23,6,153,23.77,43.2,1014.88,5.35,78.28,0,0,0,2264.254
