,Date,Hour,Index(Wh),Consumption(Wh),Day,Weekend,Week,Month,Temperature,Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Irradiation,Minutes
0,01/06/2020,00:00,806469,56,1,0,23,6,11.69,79.32,1015.13,3.67,71.66,0.0,0.0,0.0,0.0,0
1,01/06/2020,00:15,806536,67,1,0,23,6,11.5,80.27,1015.08,3.62,73.58,0.0,0.0,0.0,0.0,15
2,01/06/2020,00:30,806596,60,1,0,23,6,11.32,81.22,1015.02,3.57,75.57,0.0,0.0,0.0,0.0,30
3,01/06/2020,00:45,806651,55,1,0,23,6,11.14,82.05,1014.98,3.51,77.64,0.0,0.0,0.0,0.0,45
4,01/06/2020,01:00,806708,57,1,0,23,6,10.97,82.74,1014.94,3.44,79.81,0.0,0.0,0.0,0.0,60
5,01/06/2020,01:15,806770,62,1,0,23,6,10.8,83.43,1014.91,3.38,82.07,0.0,0.0,0.0,0.0,75
6,01/06/2020,01:30,806833,63,1,0,23,6,10.63,84.13,1014.87,3.32,84.41,0.0,0.0,0.0,0.0,90
7,01/06/2020,01:45,806888,55,1,0,23,6,10.47,84.64,1014.85,3.26,86.68,0.0,0.0,0.0,0.0,105
8,01/06/2020,02:00,806924,36,1,0,23,6,10.32,84.93,1014.83,3.19,88.9,0.0,0.0,0.0,0.0,120
9,01/06/2020,02:15,806961,37,1,0,23,6,10.17,85.23,1014.81,3.12,91.21,0.0,0.0,0.0,0.0,135
10,01/06/2020,02:30,807007,46,1,0,23,6,10.01,85.52,1014.79,3.06,93.62,0.0,0.0,0.0,0.0,150
11,01/06/2020,02:45,807043,36,1,0,23,6,9.88,85.63,1014.79,3.02,95.67,0.0,0.0,0.0,0.0,165
12,01/06/2020,03:00,807078,35,1,0,23,6,9.76,85.56,1014.8,2.98,97.33,0.0,0.0,0.0,0.0,180
13,01/06/2020,03:15,807112,34,1,0,23,6,9.65,85.47,1014.81,2.94,99.03,0.0,0.0,0.0,0.0,195
14,01/06/2020,03:30,807161,49,1,0,23,6,9.53,85.39,1014.82,2.91,100.77,0.0,0.0,0.0,0.0,210
15,01/06/2020,03:45,807218,57,1,0,23,6,9.59,84.64,1014.86,2.9,101.78,0.0,0.0,0.0,0.0,225
16,01/06/2020,04:00,807273,55,1,0,23,6,9.82,83.27,1014.92,2.9,102.05,0.0,0.0,0.0,12.306,240
17,01/06/2020,04:15,807325,52,1,0,23,6,10.04,81.91,1014.99,2.91,102.31,0.0,0.0,0.0,50.388,255
18,01/06/2020,04:30,807392,67,1,0,23,6,10.27,80.59,1015.06,2.92,102.57,0.0,0.0,0.0,102.786,270
19,01/06/2020,04:45,807447,55,1,0,23,6,10.64,78.43,1015.14,3.01,101.74,0.0,0.0,0.0,165.471,285
20,01/06/2020,05:00,807499,52,1,0,23,6,11.14,75.52,1015.24,3.19,99.98,0.0,0.0,0.0,234.703,300
21,01/06/2020,05:15,807549,50,1,0,23,6,11.65,72.73,1015.34,3.37,98.41,0.0,0.0,0.0,313.511,315
