,Date,Hour,Index(Wh),Consumption(Wh),Day of year,Day,Week,Weekend,Month,Temperature,Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Irradiation,Minutes
0,08/02/2020,00:00,6874,94,0,6,0,1,2,277.09,90.1,1012.6,6.55,183.54,0.000474,0.0,0.0,0.0,0
1,08/02/2020,00:15,6954,80,0,6,0,1,2,277.26,90.14,1012.57,6.56,186.15,0.000591,0.0,0.0,0.0,15
2,08/02/2020,00:30,7040,86,0,6,0,1,2,277.44,90.16,1012.53,6.58,188.75,0.000708,0.0,0.0,0.0,30
3,08/02/2020,00:45,7151,111,0,6,0,1,2,277.6,90.27,1012.49,6.58,190.68,0.000749,0.0,0.0,0.0,45
4,08/02/2020,01:00,7366,215,0,6,0,1,2,277.75,90.47,1012.43,6.54,191.96,0.000712,0.0,0.0,0.0,60
5,08/02/2020,01:15,7881,515,0,6,0,1,2,277.89,90.66,1012.37,6.5,193.26,0.000675,0.0,0.0,0.0,75
6,08/02/2020,01:30,8119,238,0,6,0,1,2,278.04,90.84,1012.32,6.47,194.57,0.000639,0.0,0.0,0.0,90
7,08/02/2020,01:45,8206,87,0,6,0,1,2,278.16,91.16,1012.25,6.43,195.74,0.000574,0.0,0.0,0.0,105
8,08/02/2020,02:00,8296,90,0,6,0,1,2,278.24,91.62,1012.18,6.37,196.76,0.00048,0.0,0.0,0.0,120
9,08/02/2020,02:15,8399,103,0,6,0,1,2,278.33,92.08,1012.11,6.32,197.79,0.000387,0.0,0.0,0.0,135
10,08/02/2020,02:30,8508,109,0,6,0,1,2,278.42,92.52,1012.03,6.27,198.84,0.000293,0.0,0.0,0.0,150
11,08/02/2020,02:45,8609,101,0,6,0,1,2,278.42,93.36,1011.99,6.22,199.35,0.000261,0.0,0.0,0.0,165
12,08/02/2020,03:00,8701,92,0,6,0,1,2,278.33,94.62,1011.97,6.17,199.3,0.000289,0.0,0.0,0.0,180
13,08/02/2020,03:15,8824,123,0,6,0,1,2,278.25,95.88,1011.96,6.12,199.24,0.000317,0.0,0.0,0.0,195
14,08/02/2020,03:30,8970,146,0,6,0,1,2,278.16,97.16,1011.94,6.06,199.19,0.000345,0.0,0.0,0.0,210
15,08/02/2020,03:45,9112,142,0,6,0,1,2,278.15,97.82,1011.92,6.1,198.99,0.000459,0.0,0.0,0.0,225
16,08/02/2020,04:00,9256,144,0,6,0,1,2,278.2,97.87,1011.89,6.22,198.67,0.000658,0.0,0.0,0.0,240
17,08/02/2020,04:15,9387,131,0,6,0,1,2,278.26,97.91,1011.86,6.34,198.36,0.000857,0.0,0.0,0.0,255
18,08/02/2020,04:30,9519,132,0,6,0,1,2,278.31,97.95,1011.84,6.46,198.06,0.001056,0.0,0.0,0.0,270
19,08/02/2020,04:45,9664,145,0,6,0,1,2,278.37,97.93,1011.8,6.54,197.94,0.001249,0.0,0.0,0.0,285
20,08/02/2020,05:00,9934,270,0,6,0,1,2,278.42,97.85,1011.76,6.59,198.01,0.001436,0.0,0.0,0.0,300
21,08/02/2020,05:15,10387,453,0,6,0,1,2,278.47,97.76,1011.72,6.64,198.08,0.001622,0.0,0.0,0.0,315
22,08/02/2020,05:30,10503,116,0,6,0,1,2,278.52,97.67,1011.68,6.69,198.15,0.001809,0.0,0.0,0.0,330
23,08/02/2020,05:45,10637,134,0,6,0,1,2,278.56,97.49,1011.66,6.74,198.32,0.002027,0.0,0.0,0.0,345
24,08/02/2020,06:00,11057,420,0,6,0,1,2,278.59,97.2,1011.66,6.78,198.61,0.002277,0.0,0.0,0.0,360
25,08/02/2020,06:15,11411,354,0,6,0,1,2,278.61,96.92,1011.66,6.82,198.89,0.002527,0.0,0.0,0.0,375
