,precipitation,Date
0,0,01/01/2020 00:00
1,0,01/01/2020 00:15
2,0,01/01/2020 00:30
3,0,01/01/2020 00:45
4,0,01/01/2020 01:00
5,0,01/01/2020 01:15
6,0,01/01/2020 01:30
7,0,01/01/2020 01:45
8,0,01/01/2020 02:00
9,0,01/01/2020 02:15
10,0,01/01/2020 02:30
11,0,01/01/2020 02:45
12,0,01/01/2020 03:00
13,0,01/01/2020 03:15
14,0,01/01/2020 03:30
15,0,01/01/2020 03:45
16,0,01/01/2020 04:00
17,0,01/01/2020 04:15
18,0,01/01/2020 04:30
19,0,01/01/2020 04:45
20,0,01/01/2020 05:00
21,0,01/01/2020 05:15
22,0,01/01/2020 05:30
23,0,01/01/2020 05:45
24,0,01/01/2020 06:00
25,0,01/01/2020 06:15
26,0,01/01/2020 06:30
27,0,01/01/2020 06:45
28,0,01/01/2020 07:00
29,0,01/01/2020 07:15
30,0,01/01/2020 07:30
31,0,01/01/2020 07:45
32,0,01/01/2020 08:00
33,0,01/01/2020 08:15
34,0,01/01/2020 08:30
35,0,01/01/2020 08:45
36,0,01/01/2020 09:00
37,0,01/01/2020 09:15
38,0,01/01/2020 09:30
39,0,01/01/2020 09:45
40,0,01/01/2020 10:00
41,0,01/01/2020 10:15
42,0,01/01/2020 10:30
43,0,01/01/2020 10:45
44,0,01/01/2020 11:00
45,0,01/01/2020 11:15
46,0,01/01/2020 11:30
47,0,01/01/2020 11:45
48,0,01/01/2020 12:00
49,0,01/01/2020 12:15
50,0,01/01/2020 12:30
51,0,01/01/2020 12:45
52,0,01/01/2020 13:00
53,0,01/01/2020 13:15
54,0,01/01/2020 13:30
55,0,01/01/2020 13:45
56,0,01/01/2020 14:00
57,0,01/01/2020 14:15
58,0,01/01/2020 14:30
59,0,01/01/2020 14:45
60,0,01/01/2020 15:00
61,0,01/01/2020 15:15
62,0,01/01/2020 15:30
63,0,01/01/2020 15:45
64,0,01/01/2020 16:00
65,0,01/01/2020 16:15
66,0,01/01/2020 16:30
67,0,01/01/2020 16:45
68,0,01/01/2020 17:00
69,0,01/01/2020 17:15
70,0,01/01/2020 17:30
71,0,01/01/2020 17:45
72,0,01/01/2020 18:00
73,0,01/01/2020 18:15
74,0,01/01/2020 18:30
75,0,01/01/2020 18:45
76,0,01/01/2020 19:00
77,0,01/01/2020 19:15
78,0,01/01/2020 19:30
79,0,01/01/2020 19:45
80,0,01/01/2020 20:00
81,0,01/01/2020 20:15
82,0,01/01/2020 20:30
83,0,01/01/2020 20:45
84,0,01/01/2020 21:00
85,0,01/01/2020 21:15
86,0,01/01/2020 21:30
87,0,01/01/2020 21:45
88,0,01/01/2020 22:00
89,0,01/01/2020 22:15
90,0,01/01/2020 22:30
91,0,01/01/2020 22:45
92,0,01/01/2020 23:00
93,0,01/01/2020 23:15
94,0,01/01/2020 23:30
95,0,01/01/2020 23:45
96,0,02/01/2020 00:00
97,0,02/01/2020 00:15
98,0,02/01/2020 00:30
99,0,02/01/2020 00:45
100,0,02/01/2020 01:00
101,0,02/01/2020 01:15
102,0,02/01/2020 01:30
103,0,02/01/2020 01:45
104,0,02/01/2020 02:00
105,0,02/01/2020 02:15
106,0,02/01/2020 02:30
107,0,02/01/2020 02:45
108,0,02/01/2020 03:00
109,0,02/01/2020 03:15
110,0,02/01/2020 03:30
111,0,02/01/2020 03:45
112,0,02/01/2020 04:00
113,0,02/01/2020 04:15
114,0,02/01/2020 04:30
115,0,02/01/2020 04:45
116,0,02/01/2020 05:00
117,0,02/01/2020 05:15
118,0,02/01/2020 05:30
119,0,02/01/2020 05:45
120,0,02/01/2020 06:00
121,0,02/01/2020 06:15
122,0,02/01/2020 06:30
123,0,02/01/2020 06:45
124,0,02/01/2020 07:00
125,0,02/01/2020 07:15
126,0,02/01/2020 07:30
127,0,02/01/2020 07:45
128,0,02/01/2020 08:00
129,0,02/01/2020 08:15
130,0,02/01/2020 08:30
131,0,02/01/2020 08:45
132,0,02/01/2020 09:00
133,0,02/01/2020 09:15
134,0,02/01/2020 09:30
135,0,02/01/2020 09:45
136,0,02/01/2020 10:00
137,0,02/01/2020 10:15
138,0,02/01/2020 10:30
139,0,02/01/2020 10:45
140,0,02/01/2020 11:00
141,0,02/01/2020 11:15
142,0,02/01/2020 11:30
143,0,02/01/2020 11:45
144,0,02/01/2020 12:00
145,0,02/01/2020 12:15
146,0,02/01/2020 12:30
147,0,02/01/2020 12:45
148,0,02/01/2020 13:00
149,0,02/01/2020 13:15
150,0,02/01/2020 13:30
151,0,02/01/2020 13:45
152,0,02/01/2020 14:00
153,0,02/01/2020 14:15
154,0,02/01/2020 14:30
155,0,02/01/2020 14:45
156,0,02/01/2020 15:00
157,0,02/01/2020 15:15
158,0,02/01/2020 15:30
159,0,02/01/2020 15:45
160,0,02/01/2020 16:00
161,0,02/01/2020 16:15
162,0,02/01/2020 16:30
163,0,02/01/2020 16:45
164,0,02/01/2020 17:00
165,0,02/01/2020 17:15
166,0,02/01/2020 17:30
167,0,02/01/2020 17:45
168,0,02/01/2020 18:00
169,0,02/01/2020 18:15
170,0,02/01/2020 18:30
171,0,02/01/2020 18:45
172,0,02/01/2020 19:00
173,0,02/01/2020 19:15
174,0,02/01/2020 19:30
175,0,02/01/2020 19:45
176,0,02/01/2020 20:00
177,0,02/01/2020 20:15
178,0,02/01/2020 20:30
179,0,02/01/2020 20:45
180,0,02/01/2020 21:00
181,0,02/01/2020 21:15
182,0,02/01/2020 21:30
183,0,02/01/2020 21:45
184,0,02/01/2020 22:00
185,0,02/01/2020 22:15
186,0,02/01/2020 22:30
187,0,02/01/2020 22:45
188,0,02/01/2020 23:00
189,0,02/01/2020 23:15
190,0,02/01/2020 23:30
191,0,02/01/2020 23:45
192,0,03/01/2020 00:00
193,0,03/01/2020 00:15
194,0,03/01/2020 00:30
195,0,03/01/2020 00:45
196,0,03/01/2020 01:00
197,0,03/01/2020 01:15
198,0,03/01/2020 01:30
199,0,03/01/2020 01:45
200,0,03/01/2020 02:00
201,0,03/01/2020 02:15
202,0,03/01/2020 02:30
203,0,03/01/2020 02:45
204,0,03/01/2020 03:00
205,0,03/01/2020 03:15
206,0,03/01/2020 03:30
207,0,03/01/2020 03:45
208,0,03/01/2020 04:00
209,0,03/01/2020 04:15
210,0,03/01/2020 04:30
211,0,03/01/2020 04:45
212,0,03/01/2020 05:00
213,0,03/01/2020 05:15
214,0,03/01/2020 05:30
215,0,03/01/2020 05:45
216,0,03/01/2020 06:00
217,0,03/01/2020 06:15
218,0,03/01/2020 06:30
219,0,03/01/2020 06:45
220,0,03/01/2020 07:00
221,0,03/01/2020 07:15
222,0,03/01/2020 07:30
223,0,03/01/2020 07:45
224,0,03/01/2020 08:00
225,0,03/01/2020 08:15
226,0,03/01/2020 08:30
227,0,03/01/2020 08:45
228,0,03/01/2020 09:00
229,0,03/01/2020 09:15
230,0,03/01/2020 09:30
231,0,03/01/2020 09:45
232,0,03/01/2020 10:00
233,0.175,03/01/2020 10:15
234,0.35,03/01/2020 10:30
235,0.525,03/01/2020 10:45
236,0.7,03/01/2020 11:00
237,0.625,03/01/2020 11:15
238,0.55,03/01/2020 11:30
239,0.475,03/01/2020 11:45
240,0.4,03/01/2020 12:00
241,0.45,03/01/2020 12:15
242,0.5,03/01/2020 12:30
243,0.55,03/01/2020 12:45
244,0.6,03/01/2020 13:00
245,0.55,03/01/2020 13:15
246,0.5,03/01/2020 13:30
247,0.45,03/01/2020 13:45
248,0.4,03/01/2020 14:00
249,0.425,03/01/2020 14:15
250,0.45,03/01/2020 14:30
251,0.475,03/01/2020 14:45
252,0.5,03/01/2020 15:00
253,0.425,03/01/2020 15:15
254,0.35,03/01/2020 15:30
255,0.275,03/01/2020 15:45
256,0.2,03/01/2020 16:00
257,0.15,03/01/2020 16:15
258,0.1,03/01/2020 16:30
259,0.05,03/01/2020 16:45
260,0,03/01/2020 17:00
261,0,03/01/2020 17:15
262,0,03/01/2020 17:30
263,0,03/01/2020 17:45
264,0,03/01/2020 18:00
265,0,03/01/2020 18:15
266,0,03/01/2020 18:30
267,0,03/01/2020 18:45
268,0,03/01/2020 19:00
269,0,03/01/2020 19:15
270,0,03/01/2020 19:30
271,0,03/01/2020 19:45
272,0,03/01/2020 20:00
273,0,03/01/2020 20:15
274,0,03/01/2020 20:30
275,0,03/01/2020 20:45
276,0,03/01/2020 21:00
277,0,03/01/2020 21:15
278,0,03/01/2020 21:30
279,0,03/01/2020 21:45
280,0,03/01/2020 22:00
281,0,03/01/2020 22:15
282,0,03/01/2020 22:30
283,0,03/01/2020 22:45
284,0,03/01/2020 23:00
285,0,03/01/2020 23:15
286,0,03/01/2020 23:30
287,0,03/01/2020 23:45
288,0,04/01/2020 00:00
289,0,04/01/2020 00:15
290,0,04/01/2020 00:30
291,0,04/01/2020 00:45
292,0,04/01/2020 01:00
293,0,04/01/2020 01:15
294,0,04/01/2020 01:30
295,0,04/01/2020 01:45
296,0,04/01/2020 02:00
297,0,04/01/2020 02:15
298,0,04/01/2020 02:30
299,0,04/01/2020 02:45
300,0,04/01/2020 03:00
301,0,04/01/2020 03:15
302,0,04/01/2020 03:30
303,0,04/01/2020 03:45
304,0,04/01/2020 04:00
305,0,04/01/2020 04:15
306,0,04/01/2020 04:30
307,0,04/01/2020 04:45
308,0,04/01/2020 05:00
309,0,04/01/2020 05:15
310,0,04/01/2020 05:30
311,0,04/01/2020 05:45
312,0,04/01/2020 06:00
313,0,04/01/2020 06:15
314,0,04/01/2020 06:30
315,0,04/01/2020 06:45
316,0,04/01/2020 07:00
317,0,04/01/2020 07:15
318,0,04/01/2020 07:30
319,0,04/01/2020 07:45
320,0,04/01/2020 08:00
321,0,04/01/2020 08:15
322,0,04/01/2020 08:30
323,0,04/01/2020 08:45
324,0,04/01/2020 09:00
325,0,04/01/2020 09:15
326,0,04/01/2020 09:30
327,0,04/01/2020 09:45
328,0,04/01/2020 10:00
329,0,04/01/2020 10:15
330,0,04/01/2020 10:30
331,0,04/01/2020 10:45
332,0,04/01/2020 11:00
333,0,04/01/2020 11:15
334,0,04/01/2020 11:30
335,0,04/01/2020 11:45
336,0,04/01/2020 12:00
337,0,04/01/2020 12:15
338,0,04/01/2020 12:30
339,0,04/01/2020 12:45
340,0,04/01/2020 13:00
341,0,04/01/2020 13:15
342,0,04/01/2020 13:30
343,0,04/01/2020 13:45
344,0,04/01/2020 14:00
345,0,04/01/2020 14:15
346,0,04/01/2020 14:30
347,0,04/01/2020 14:45
348,0,04/01/2020 15:00
349,0,04/01/2020 15:15
350,0,04/01/2020 15:30
351,0,04/01/2020 15:45
352,0,04/01/2020 16:00
353,0,04/01/2020 16:15
354,0,04/01/2020 16:30
355,0,04/01/2020 16:45
356,0,04/01/2020 17:00
357,0,04/01/2020 17:15
358,0,04/01/2020 17:30
359,0,04/01/2020 17:45
360,0,04/01/2020 18:00
361,0,04/01/2020 18:15
362,0,04/01/2020 18:30
363,0,04/01/2020 18:45
364,0,04/01/2020 19:00
365,0,04/01/2020 19:15
366,0,04/01/2020 19:30
367,0,04/01/2020 19:45
368,0,04/01/2020 20:00
369,0,04/01/2020 20:15
370,0,04/01/2020 20:30
371,0,04/01/2020 20:45
372,0,04/01/2020 21:00
373,0,04/01/2020 21:15
374,0,04/01/2020 21:30
375,0,04/01/2020 21:45
376,0,04/01/2020 22:00
377,0,04/01/2020 22:15
378,0,04/01/2020 22:30
379,0,04/01/2020 22:45
380,0,04/01/2020 23:00
381,0,04/01/2020 23:15
382,0,04/01/2020 23:30
383,0,04/01/2020 23:45
384,0,05/01/2020 00:00
385,0,05/01/2020 00:15
386,0,05/01/2020 00:30
387,0,05/01/2020 00:45
388,0,05/01/2020 01:00
389,0,05/01/2020 01:15
390,0,05/01/2020 01:30
391,0,05/01/2020 01:45
392,0,05/01/2020 02:00
393,0,05/01/2020 02:15
394,0,05/01/2020 02:30
395,0,05/01/2020 02:45
396,0,05/01/2020 03:00
397,0,05/01/2020 03:15
398,0,05/01/2020 03:30
399,0,05/01/2020 03:45
400,0,05/01/2020 04:00
401,0,05/01/2020 04:15
402,0,05/01/2020 04:30
403,0,05/01/2020 04:45
404,0,05/01/2020 05:00
405,0,05/01/2020 05:15
406,0,05/01/2020 05:30
407,0,05/01/2020 05:45
408,0,05/01/2020 06:00
409,0,05/01/2020 06:15
410,0,05/01/2020 06:30
411,0,05/01/2020 06:45
412,0,05/01/2020 07:00
413,0,05/01/2020 07:15
414,0,05/01/2020 07:30
415,0,05/01/2020 07:45
416,0,05/01/2020 08:00
417,0,05/01/2020 08:15
418,0,05/01/2020 08:30
419,0,05/01/2020 08:45
420,0,05/01/2020 09:00
421,0,05/01/2020 09:15
422,0,05/01/2020 09:30
423,0,05/01/2020 09:45
424,0,05/01/2020 10:00
425,0,05/01/2020 10:15
426,0,05/01/2020 10:30
427,0,05/01/2020 10:45
428,0,05/01/2020 11:00
429,0,05/01/2020 11:15
430,0,05/01/2020 11:30
431,0,05/01/2020 11:45
432,0,05/01/2020 12:00
433,0,05/01/2020 12:15
434,0,05/01/2020 12:30
435,0,05/01/2020 12:45
436,0,05/01/2020 13:00
437,0,05/01/2020 13:15
438,0,05/01/2020 13:30
439,0,05/01/2020 13:45
440,0,05/01/2020 14:00
441,0,05/01/2020 14:15
442,0,05/01/2020 14:30
443,0,05/01/2020 14:45
444,0,05/01/2020 15:00
445,0,05/01/2020 15:15
446,0,05/01/2020 15:30
447,0,05/01/2020 15:45
448,0,05/01/2020 16:00
449,0,05/01/2020 16:15
450,0,05/01/2020 16:30
451,0,05/01/2020 16:45
452,0,05/01/2020 17:00
453,0,05/01/2020 17:15
454,0,05/01/2020 17:30
455,0,05/01/2020 17:45
456,0,05/01/2020 18:00
457,0,05/01/2020 18:15
458,0,05/01/2020 18:30
459,0,05/01/2020 18:45
460,0,05/01/2020 19:00
461,0,05/01/2020 19:15
462,0,05/01/2020 19:30
463,0,05/01/2020 19:45
464,0,05/01/2020 20:00
465,0,05/01/2020 20:15
466,0,05/01/2020 20:30
467,0,05/01/2020 20:45
468,0,05/01/2020 21:00
469,0,05/01/2020 21:15
470,0,05/01/2020 21:30
471,0,05/01/2020 21:45
472,0,05/01/2020 22:00
473,0,05/01/2020 22:15
474,0,05/01/2020 22:30
475,0,05/01/2020 22:45
476,0,05/01/2020 23:00
477,0,05/01/2020 23:15
478,0,05/01/2020 23:30
479,0,05/01/2020 23:45
480,0,06/01/2020 00:00
481,0,06/01/2020 00:15
482,0,06/01/2020 00:30
483,0,06/01/2020 00:45
484,0,06/01/2020 01:00
485,0,06/01/2020 01:15
486,0,06/01/2020 01:30
487,0,06/01/2020 01:45
488,0,06/01/2020 02:00
489,0,06/01/2020 02:15
490,0,06/01/2020 02:30
491,0,06/01/2020 02:45
492,0,06/01/2020 03:00
493,0,06/01/2020 03:15
494,0,06/01/2020 03:30
495,0,06/01/2020 03:45
496,0,06/01/2020 04:00
497,0,06/01/2020 04:15
498,0,06/01/2020 04:30
499,0,06/01/2020 04:45
500,0,06/01/2020 05:00
501,0,06/01/2020 05:15
502,0,06/01/2020 05:30
503,0,06/01/2020 05:45
504,0,06/01/2020 06:00
505,0,06/01/2020 06:15
506,0,06/01/2020 06:30
507,0,06/01/2020 06:45
508,0,06/01/2020 07:00
509,0,06/01/2020 07:15
510,0,06/01/2020 07:30
511,0,06/01/2020 07:45
512,0,06/01/2020 08:00
513,0,06/01/2020 08:15
514,0,06/01/2020 08:30
515,0,06/01/2020 08:45
516,0,06/01/2020 09:00
517,0,06/01/2020 09:15
518,0,06/01/2020 09:30
519,0,06/01/2020 09:45
520,0,06/01/2020 10:00
521,0,06/01/2020 10:15
522,0,06/01/2020 10:30
523,0,06/01/2020 10:45
524,0,06/01/2020 11:00
525,0,06/01/2020 11:15
526,0,06/01/2020 11:30
527,0,06/01/2020 11:45
528,0,06/01/2020 12:00
529,0,06/01/2020 12:15
530,0,06/01/2020 12:30
531,0,06/01/2020 12:45
532,0,06/01/2020 13:00
533,0,06/01/2020 13:15
534,0,06/01/2020 13:30
535,0,06/01/2020 13:45
536,0,06/01/2020 14:00
